(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Testing Shape: (348, 256, 4) (348, 1)
E1: T:0.0191729087382555 V:0.02548152022063732
E2: T:0.007364726159721613 V:0.08107589930295944
E3: T:0.005207017995417118 V:0.09627784788608551
E4: T:0.004748248960822821 V:0.08915144950151443
E5: T:0.004319731146097183 V:0.08249914646148682
E6: T:0.003993654157966375 V:0.08435702323913574
E7: T:0.003992361482232809 V:0.08087563514709473
E8: T:0.0025939466431736946 V:0.08072347939014435
E9: T:0.007370413281023502 V:0.10184192657470703
E10: T:0.0044985003769397736 V:0.11370909214019775
E11: T:0.003734212601557374 V:0.09039195626974106
E12: T:0.0029155900701880455 V:0.07849123328924179
E13: T:0.002613289747387171 V:0.0773811787366867
E14: T:0.0023073190823197365 V:0.06401067227125168
E15: T:0.0026397898327559233 V:0.06188677251338959
E16: T:0.002314582234248519 V:0.0801294595003128
E17: T:0.0025593985337764025 V:0.04909214377403259
E18: T:0.002329933224245906 V:0.05822548642754555
E19: T:0.0022156978957355022 V:0.043047044426202774
E20: T:0.002058748621493578 V:0.07291626185178757
E21: T:0.002275607082992792 V:0.08050761371850967
E22: T:0.0018898297566920519 V:0.06532090902328491
E23: T:0.0019361941376700997 V:0.06404003500938416
E24: T:0.0020436716731637716 V:0.07397441565990448
