(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Testing Shape: (348, 256, 4) (348, 1)
E1: T:0.06526265293359756 V:0.034798189997673035
E2: T:0.007795286830514669 V:0.12241195142269135
E3: T:0.005540723446756601 V:0.1100447028875351
E4: T:0.004766011144965887 V:0.10818877071142197
E5: T:0.004083209205418825 V:0.10173022001981735
E6: T:0.0036551966331899166 V:0.10734941065311432
E7: T:0.0030846954323351383 V:0.09581693261861801
E8: T:0.0026598675176501274 V:0.08838023990392685
E9: T:0.002747298451140523 V:0.12273632735013962
E10: T:0.0023119437973946333 V:0.10323598235845566
E11: T:0.0025033773854374886 V:0.08774038404226303
E12: T:0.0024188016541302204 V:0.09629978239536285
E13: T:0.0021308392751961946 V:0.06318046152591705
E14: T:0.001982441172003746 V:0.0974455326795578
E15: T:0.0020034692715853453 V:0.08000848442316055
E16: T:0.0019060117192566395 V:0.09045811742544174
E17: T:0.0017692653927952051 V:0.06974301487207413
E18: T:0.001891715219244361 V:0.08053368330001831
E19: T:0.0015989199746400118 V:0.06745898723602295
E20: T:0.0015489069046452641 V:0.06643418967723846
E21: T:0.0014198143035173416 V:0.0669860690832138
E22: T:0.0014620766742154956 V:0.06833410263061523
E23: T:0.0014509361935779452 V:0.06611549854278564
E24: T:0.0013023861683905125 V:0.06160463020205498
E25: T:0.0012778091477230191 V:0.07748059928417206
