(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Testing Shape: (348, 256, 4) (348, 1)
E1: T:0.030230119824409485 V:0.029381804168224335
E2: T:0.01781446859240532 V:0.029487377032637596
E3: T:0.015947164967656136 V:0.029715707525610924
E4: T:0.013909646309912205 V:0.03222985193133354
E5: T:0.012737085111439228 V:0.032362449914216995
E6: T:0.01239820383489132 V:0.10401446372270584
E7: T:0.009231316857039928 V:0.0840282216668129
E8: T:0.005534842144697905 V:0.09659270197153091
E9: T:0.005557006690651178 V:0.10226913541555405
E10: T:0.004625043831765652 V:0.0788484588265419
E11: T:0.0049438681453466415 V:0.08333926647901535
E12: T:0.0042131817899644375 V:0.07977396249771118
E13: T:0.0044114841148257256 V:0.09850411117076874
E14: T:0.003803873900324106 V:0.09129905700683594
E15: T:0.004030998796224594 V:0.06424728035926819
E16: T:0.0035125319845974445 V:0.09385514259338379
E17: T:0.0046021463349461555 V:0.09722074866294861
E18: T:0.0037386203184723854 V:0.061095044016838074
E19: T:0.003563773352652788 V:0.062225062400102615
E20: T:0.0037996647879481316 V:0.08345171809196472
E21: T:0.0032283992040902376 V:0.08074574172496796
E22: T:0.0033231463748961687 V:0.07747653126716614
E23: T:0.0029935326892882586 V:0.08161982148885727
E24: T:0.0033187998924404383 V:0.06883515417575836
E25: T:0.003590515349060297 V:0.07864055037498474
