(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Valid Shape: (348, 256, 4) (348, 1)
(2078, 256, 4) (2078, 1)
Training Shape: (1845, 256, 4) (1845, 1)
Valid Shape: (233, 256, 4) (233, 1)
E1: T:0.023027369752526283 V:0.05024746432900429
E2: T:0.008678332902491093 V:0.053909365087747574
E3: T:0.007767298724502325 V:0.04071282222867012
E4: T:0.0054395184852182865 V:0.05731115862727165
E5: T:0.005298966076225042 V:0.019206134602427483
E6: T:0.0045515694655478 V:0.024900270625948906
E7: T:0.003928289283066988 V:0.04572656750679016
E8: T:0.00922198686748743 V:0.04511733725667
E9: T:0.0074202679097652435 V:0.03178414702415466
E10: T:0.0056451717391610146 V:0.05927953124046326
E11: T:0.005037740338593721 V:0.03560774773359299
E12: T:0.003839297452941537 V:0.03698953986167908
E13: T:0.0032452247105538845 V:0.019431328400969505
E14: T:0.0034701998811215162 V:0.032979197800159454
E15: T:0.0033360684756189585 V:0.01585768163204193
E16: T:0.002776120789349079 V:0.03550167381763458
E17: T:0.002552205929532647 V:0.01966347172856331
E18: T:0.0026176231913268566 V:0.01813073642551899
E19: T:0.0025259163230657578 V:0.02555650658905506
E20: T:0.0022543338127434254 V:0.021844614297151566
E21: T:0.0021155059803277254 V:0.014545036479830742
E22: T:0.0025632467586547136 V:0.01447173673659563
E23: T:0.002196155022829771 V:0.013346805237233639
E24: T:0.002097096759825945 V:0.019035574048757553
E25: T:0.001929829246364534 V:0.014693420380353928
