(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Valid Shape: (348, 256, 4) (348, 1)
(2078, 256, 4) (2078, 1)
Training Shape: (1845, 256, 4) (1845, 1)
Valid Shape: (233, 256, 4) (233, 1)
E1: T:0.024295568466186523 V:0.042252831161022186
E2: T:0.008495347574353218 V:0.03822949901223183
E3: T:0.0073445080779492855 V:0.029255133122205734
E4: T:0.006396671291440725 V:0.02793489582836628
E5: T:0.005179458297789097 V:0.023169565945863724
E6: T:0.004061163868755102 V:0.022019367665052414
E7: T:0.003243612125515938 V:0.033005550503730774
E8: T:0.003991307225078344 V:0.018864799290895462
E9: T:0.002782276365906 V:0.015988407656550407
E10: T:0.002587046939879656 V:0.016658086329698563
E11: T:0.002446854254230857 V:0.017550624907016754
E12: T:0.0025302863214164972 V:0.014905729331076145
E13: T:0.0024895293172448874 V:0.01825336180627346
E14: T:0.011880770325660706 V:0.027248935773968697
E15: T:0.05083852633833885 V:0.0805806890130043
E16: T:0.05766625702381134 V:0.08330093324184418
E17: T:0.057049933820962906 V:0.0844644084572792
E18: T:0.056901734322309494 V:0.10478842258453369
E19: T:0.057641178369522095 V:0.11014281213283539
E20: T:0.05652591586112976 V:0.10903672128915787
E21: T:0.056738268584012985 V:0.10503064095973969
E22: T:0.05689746141433716 V:0.09025999158620834
E23: T:0.05727345868945122 V:0.11377167701721191
E24: T:0.0569426566362381 V:0.11193104833364487
E25: T:0.05704120919108391 V:0.09966888278722763
E26: T:0.05707317590713501 V:0.10330115258693695
E27: T:0.05646192282438278 V:0.10974658280611038
E28: T:0.05712759494781494 V:0.11999665200710297
E29: T:0.05689143016934395 V:0.10447496920824051
E30: T:0.056692976504564285 V:0.0906592458486557
E31: T:0.05669431388378143 V:0.09751974046230316
E32: T:0.05668964236974716 V:0.09334825724363327
E33: T:0.05637447535991669 V:0.10029365867376328
E34: T:0.05644616857171059 V:0.10738149285316467
E35: T:0.057131316512823105 V:0.08818652480840683
E36: T:0.05687732622027397 V:0.07997436821460724
E37: T:0.05690206214785576 V:0.11352016776800156
E38: T:0.05695463716983795 V:0.09558522701263428
E39: T:0.056851163506507874 V:0.10860168188810349
E40: T:0.056481439620256424 V:0.10734910517930984
E41: T:0.056645601987838745 V:0.10311868786811829
E42: T:0.05656851455569267 V:0.11531081050634384
E43: T:0.0566377155482769 V:0.093518927693367
E44: T:0.056240759789943695 V:0.10315811634063721
E45: T:0.05697048082947731 V:0.11176473647356033
E46: T:0.056577131152153015 V:0.09766586124897003
E47: T:0.05716788023710251 V:0.10778452455997467
E48: T:0.0564071387052536 V:0.10299300402402878
E49: T:0.05687956139445305 V:0.09056826680898666
E50: T:0.05662889778614044 V:0.08408892154693604
E51: T:0.05654095485806465 V:0.10370313376188278
E52: T:0.05688074603676796 V:0.09661800414323807
E53: T:0.05646942928433418 V:0.11610619723796844
E54: T:0.05650481954216957 V:0.10215095430612564
E55: T:0.05654701218008995 V:0.0956265777349472
E56: T:0.0566881038248539 V:0.11189951747655869
E57: T:0.056734055280685425 V:0.09857426583766937
E58: T:0.05642028898000717 V:0.10382409393787384
E59: T:0.056675828993320465 V:0.10996099561452866
E60: T:0.056622035801410675 V:0.10822600871324539
E61: T:0.05672742426395416 V:0.10639733076095581
E62: T:0.056681085377931595 V:0.08262865245342255
E63: T:0.05659684166312218 V:0.09041845798492432
E64: T:0.05618524178862572 V:0.078387051820755
E65: T:0.05684041604399681 V:0.09130875766277313
E66: T:0.05652588978409767 V:0.09581483155488968
E67: T:0.05693582072854042 V:0.09728958457708359
E68: T:0.05650428310036659 V:0.09716453403234482
E69: T:0.05665293335914612 V:0.11110701411962509
E70: T:0.05652425065636635 V:0.10646627843379974
E71: T:0.05633861944079399 V:0.08731081336736679
E72: T:0.05668990686535835 V:0.10506805777549744
E73: T:0.05654570832848549 V:0.09952235966920853
E74: T:0.05626804754137993 V:0.10191591084003448
E75: T:0.056426115334033966 V:0.09002195298671722
E76: T:0.05658421292901039 V:0.11474915593862534
E77: T:0.056489139795303345 V:0.09885571897029877
E78: T:0.056384067982435226 V:0.1019943431019783
E79: T:0.05638565495610237 V:0.1119307205080986
E80: T:0.05672184377908707 V:0.1022404283285141
E81: T:0.056434884667396545 V:0.0925111398100853
E82: T:0.05631263926625252 V:0.08887136727571487
E83: T:0.056439660489559174 V:0.11871711909770966
E84: T:0.05650949105620384 V:0.10777255147695541
E85: T:0.056534040719270706 V:0.10461070388555527
E86: T:0.056198861449956894 V:0.09885389357805252
E87: T:0.056390415877103806 V:0.09967222064733505
E88: T:0.056169867515563965 V:0.09980752319097519
E89: T:0.05641866475343704 V:0.09185709804296494
E90: T:0.05631021782755852 V:0.11032482236623764
E91: T:0.05648665875196457 V:0.08068520575761795
E92: T:0.05631667375564575 V:0.09520510584115982
E93: T:0.05649663507938385 V:0.10197319835424423
E94: T:0.0564744733273983 V:0.10956800729036331
E95: T:0.05658624693751335 V:0.09621311724185944
E96: T:0.05623597279191017 V:0.10338662564754486
E97: T:0.056608375161886215 V:0.09191905707120895
E98: T:0.05639023706316948 V:0.09912212193012238
E99: T:0.056096818298101425 V:0.10123423486948013
E100: T:0.056194011121988297 V:0.09988351911306381
E101: T:0.05649932846426964 V:0.11591621488332748
E102: T:0.05645551532506943 V:0.10255233198404312
E103: T:0.056273818016052246 V:0.0868171826004982
E104: T:0.056431353092193604 V:0.09759928286075592
E105: T:0.056377947330474854 V:0.0942075103521347
E106: T:0.056635782122612 V:0.0867556631565094
E107: T:0.05626861751079559 V:0.09135310351848602
E108: T:0.05635615438222885 V:0.11055190861225128
E109: T:0.05629110336303711 V:0.10198718309402466
E110: T:0.05632523074746132 V:0.09610988944768906
E111: T:0.056233543902635574 V:0.09769178181886673
E112: T:0.05630648508667946 V:0.10393077880144119
E113: T:0.05631200969219208 V:0.1156909316778183
E114: T:0.056406471878290176 V:0.11218404769897461
E115: T:0.05636753886938095 V:0.10336843132972717
E116: T:0.05638189613819122 V:0.0953628271818161
E117: T:0.05624528229236603 V:0.09404236823320389
E118: T:0.05637900531291962 V:0.0956754982471466
E119: T:0.056269627064466476 V:0.10746978223323822
E120: T:0.05614365264773369 V:0.10320021957159042
E121: T:0.056396692991256714 V:0.1078125461935997
E122: T:0.05652009695768356 V:0.12424026429653168
E123: T:0.05664074420928955 V:0.10128240287303925
E124: T:0.056481361389160156 V:0.10303261876106262
E125: T:0.05620425567030907 V:0.09851071238517761
E126: T:0.056380316615104675 V:0.10071919858455658
E127: T:0.05622299388051033 V:0.11070405691862106
E128: T:0.05631377547979355 V:0.09623546153306961
E129: T:0.05633173882961273 V:0.10735481977462769
E130: T:0.05649857968091965 V:0.10475848615169525
E131: T:0.05628810077905655 V:0.08986008167266846
E132: T:0.056203797459602356 V:0.11023905128240585
E133: T:0.05653490871191025 V:0.09705763310194016
E134: T:0.05627090483903885 V:0.08623460680246353
E135: T:0.056325867772102356 V:0.10783958435058594
E136: T:0.05635951831936836 V:0.10284606367349625
E137: T:0.056357886642217636 V:0.10159705579280853
E138: T:0.05638233572244644 V:0.09357643872499466
E139: T:0.05624809116125107 V:0.09236524254083633
E140: T:0.056205738335847855 V:0.11191026866436005
E141: T:0.05621957778930664 V:0.09452706575393677
E142: T:0.056189339607954025 V:0.11278370767831802
E143: T:0.0563625730574131 V:0.08748853951692581
E144: T:0.056113410741090775 V:0.09536954015493393
E145: T:0.056164007633924484 V:0.09938467293977737
E146: T:0.056215520948171616 V:0.09748774766921997
E147: T:0.05614319443702698 V:0.09584089368581772
E148: T:0.056068941950798035 V:0.10208319127559662
E149: T:0.056296344846487045 V:0.10840465873479843
E150: T:0.05623037740588188 V:0.08648460358381271
E151: T:0.056215498596429825 V:0.09788785874843597
E152: T:0.05639250949025154 V:0.09767071902751923
E153: T:0.056344013661146164 V:0.10593227297067642
E154: T:0.056325655430555344 V:0.09139551967382431
E155: T:0.05631202086806297 V:0.09899232536554337
E156: T:0.05619855225086212 V:0.09729360044002533
E157: T:0.05610143393278122 V:0.10427550226449966
E158: T:0.056324612349271774 V:0.09099461883306503
E159: T:0.056197624653577805 V:0.0882289782166481
E160: T:0.05621100217103958 V:0.09552707523107529
E161: T:0.05599476397037506 V:0.1058526262640953
E162: T:0.05621135234832764 V:0.09642013907432556
E163: T:0.056279249489307404 V:0.09657711535692215
E164: T:0.05624973773956299 V:0.07817438244819641
E165: T:0.056102726608514786 V:0.10500767827033997
E166: T:0.05643048882484436 V:0.10778744518756866
E167: T:0.056246254593133926 V:0.09351526200771332
E168: T:0.056376710534095764 V:0.10375044494867325
E169: T:0.056142427027225494 V:0.09116441756486893
E170: T:0.05627743899822235 V:0.09421895444393158
E171: T:0.05643108859658241 V:0.09752118587493896
E172: T:0.056230612099170685 V:0.09667565673589706
E173: T:0.0563092939555645 V:0.08737701922655106
E174: T:0.05632218345999718 V:0.10884255915880203
E175: T:0.0563073605298996 V:0.10270396620035172
E176: T:0.05621504783630371 V:0.10197603702545166
E177: T:0.05629807710647583 V:0.09530777484178543
E178: T:0.05640193819999695 V:0.10662832111120224
E179: T:0.05620923638343811 V:0.09956871718168259
E180: T:0.05617652088403702 V:0.10881658643484116
E181: T:0.05628042668104172 V:0.11173933744430542
E182: T:0.056222815066576004 V:0.08855443447828293
E183: T:0.056230366230010986 V:0.09683439880609512
E184: T:0.0563252754509449 V:0.10844077914953232
E185: T:0.05635026469826698 V:0.10903006047010422
E186: T:0.056147925555706024 V:0.09939306229352951
E187: T:0.056157588958740234 V:0.09794840216636658
E188: T:0.05618667230010033 V:0.10767947882413864
E189: T:0.056132975965738297 V:0.09313210844993591
E190: T:0.05600402131676674 V:0.09787420928478241
E191: T:0.05621327832341194 V:0.10075381398200989
E192: T:0.05616918206214905 V:0.10531459748744965
E193: T:0.05628883093595505 V:0.10744620859622955
E194: T:0.05626280978322029 V:0.10227600485086441
E195: T:0.05614420771598816 V:0.10150133073329926
E196: T:0.05622156336903572 V:0.09362075477838516
E197: T:0.056127361953258514 V:0.10227878391742706
E198: T:0.056279417127370834 V:0.09984678775072098
E199: T:0.05611700937151909 V:0.1018110066652298
E200: T:0.05625077337026596 V:0.10204775631427765
E201: T:0.05629844591021538 V:0.09977651387453079
E202: T:0.05624403804540634 V:0.10852096974849701
E203: T:0.05617246404290199 V:0.1056329607963562
E204: T:0.05620989948511124 V:0.09362811595201492
E205: T:0.056233786046504974 V:0.09791386872529984
E206: T:0.0562906488776207 V:0.11052940785884857
E207: T:0.05627879127860069 V:0.10496263206005096
E208: T:0.05622916668653488 V:0.10352852195501328
E209: T:0.056275542825460434 V:0.0885341539978981
E210: T:0.05637091025710106 V:0.09744028002023697
E211: T:0.05627591162919998 V:0.10159962624311447
E212: T:0.056373998522758484 V:0.08942174166440964
E213: T:0.05607643723487854 V:0.10425180941820145
E214: T:0.05642654001712799 V:0.1027233749628067
E215: T:0.056159600615501404 V:0.09796163439750671
E216: T:0.05625246837735176 V:0.11646877229213715
E217: T:0.056244440376758575 V:0.09108634293079376
