(3227, 256, 5) (3227, 1)
Training Shape: (2879, 256, 5) (2879, 1)
Valid Shape: (348, 256, 5) (348, 1)
(2078, 256, 5) (2078, 1)
Training Shape: (1845, 256, 5) (1845, 1)
Valid Shape: (233, 256, 5) (233, 1)
E1: T:0.02402503602206707 V:0.02606072835624218
E2: T:0.011045833118259907 V:0.050879258662462234
E3: T:0.005000797100365162 V:0.03747216612100601
E4: T:0.004691681358963251 V:0.0244120042771101
E5: T:0.005177710670977831 V:0.01707119308412075
E6: T:0.004329567309468985 V:0.0191922839730978
E7: T:0.0037631301674991846 V:0.016562825068831444
E8: T:0.00397027051076293 V:0.013781174086034298
E9: T:0.00401845620945096 V:0.021259985864162445
E10: T:0.0034940417390316725 V:0.009861602447926998
E11: T:0.0037534653674811125 V:0.01789924129843712
E12: T:0.0034407011698931456 V:0.015580287203192711
E13: T:0.0033849759493023157 V:0.02407214604318142
E14: T:0.0029300847090780735 V:0.011119472794234753
E15: T:0.003221316495910287 V:0.03175083175301552
E16: T:0.0032992272172123194 V:0.01839304529130459
E17: T:0.0035927756689488888 V:0.024657772853970528
E18: T:0.0032919945660978556 V:0.01632070727646351
E19: T:0.0027843767311424017 V:0.025000369176268578
E20: T:0.002741622505709529 V:0.021703045815229416
E21: T:0.0027408641763031483 V:0.01832716166973114
E22: T:0.003124702489003539 V:0.018725307658314705
E23: T:0.002235142281278968 V:0.031413428485393524
E24: T:0.0021270085126161575 V:0.018047984689474106
E25: T:0.001956832129508257 V:0.016948042437434196
E26: T:0.0017215515254065394 V:0.020295655354857445
E27: T:0.0016114979516714811 V:0.010838049463927746
E28: T:0.002169158775359392 V:0.03286039084196091
E29: T:0.0038876233156770468 V:0.027601251378655434
E30: T:0.002920265542343259 V:0.019942011684179306
E31: T:0.002248783130198717 V:0.02371903508901596
E32: T:0.0018157713348045945 V:0.013755873776972294
E33: T:0.0020292862318456173 V:0.013359060510993004
E34: T:0.0016286926111206412 V:0.021321313455700874
E35: T:0.0015984888887032866 V:0.01699475757777691
E36: T:0.0015689608408138156 V:0.022037293761968613
E37: T:0.002048822119832039 V:0.02133086882531643
E38: T:0.00187389412894845 V:0.026640603318810463
E39: T:0.0017026460263878107 V:0.02255457267165184
E40: T:0.0013864408247172832 V:0.014160512015223503
E41: T:0.0014491513138636947 V:0.011580999940633774
E42: T:0.001787687069736421 V:0.01659172773361206
E43: T:0.0013235454680398107 V:0.01988983154296875
E44: T:0.0013807633658871055 V:0.01505153626203537
E45: T:0.001270947279408574 V:0.025405047461390495
E46: T:0.0011894608614966273 V:0.012948501855134964
E47: T:0.001332798507064581 V:0.011186975985765457
E48: T:0.0012381005799397826 V:0.02047864720225334
E49: T:0.0015112055698409677 V:0.015299640595912933
E50: T:0.0023432194720953703 V:0.017680471763014793
E51: T:0.00245595327578485 V:0.019065238535404205
E52: T:0.0032162703573703766 V:0.023331275209784508
E53: T:0.002822683658450842 V:0.02499026246368885
E54: T:0.002898711943998933 V:0.022130833938717842
E55: T:0.0026476141065359116 V:0.017770681530237198
E56: T:0.0025888457894325256 V:0.018906990066170692
E57: T:0.0026596011593937874 V:0.021963074803352356
E58: T:0.002576797502115369 V:0.0183405838906765
E59: T:0.002469911938533187 V:0.013509195297956467
E60: T:0.0020879656076431274 V:0.03213625028729439
E61: T:0.0018875747919082642 V:0.02150253765285015
E62: T:0.0019793519750237465 V:0.010597593151032925
E63: T:0.001508339075371623 V:0.0162492748349905
E64: T:0.0012441434664651752 V:0.020530356094241142
E65: T:0.0010917672188952565 V:0.012750398367643356
E66: T:0.0012268846621736884 V:0.020276930183172226
E67: T:0.0010809419909492135 V:0.011624070815742016
E68: T:0.0010739905992522836 V:0.02125640958547592
E69: T:0.001145457266829908 V:0.011027032509446144
E70: T:0.0011751001002267003 V:0.011063163168728352
E71: T:0.0010658433893695474 V:0.012655028142035007
E72: T:0.0010368668008595705 V:0.010455947369337082
E73: T:0.0010525991674512625 V:0.019365210086107254
E74: T:0.0012396319070830941 V:0.014199396595358849
E75: T:0.0009486080380156636 V:0.014806362800300121
E76: T:0.0009974435670301318 V:0.018728170543909073
E77: T:0.0011883198749274015 V:0.019942598417401314
E78: T:0.0012065499322488904 V:0.018914086744189262
E79: T:0.0011525058653205633 V:0.0272658783942461
E80: T:0.0013800106244161725 V:0.015109045431017876
E81: T:0.0013252756325528026 V:0.01922037824988365
E82: T:0.001114305923692882 V:0.012090133503079414
E83: T:0.0010131628951057792 V:0.009096422232687473
E84: T:0.0012695289915427566 V:0.013248631730675697
E85: T:0.001039333874359727 V:0.019914014264941216
E86: T:0.0011353989830240607 V:0.023998256772756577
E87: T:0.0009709580917842686 V:0.012395518831908703
E88: T:0.000977227697148919 V:0.018539732322096825
E89: T:0.0009406916797161102 V:0.011587643064558506
E90: T:0.0011476149084046483 V:0.021115856245160103
E91: T:0.0009609215194359422 V:0.015977894887328148
E92: T:0.0009630438289605081 V:0.022071896120905876
E93: T:0.0009718026267364621 V:0.023201236501336098
E94: T:0.0008916269289329648 V:0.014991638250648975
E95: T:0.0009382259449921548 V:0.014897500164806843
E96: T:0.0011042808182537556 V:0.014997943304479122
E97: T:0.0008604631293565035 V:0.014326352626085281
E98: T:0.0010395494755357504 V:0.01797947660088539
