Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E1: T:0.008731726557016373 V:0.050500620156526566
E2: T:0.004534836858510971 V:0.12776526808738708
E3: T:0.0031831192318350077 V:0.10522820055484772
E4: T:0.0031161983497440815 V:0.11414183676242828
E5: T:0.0027101878076791763 V:0.12372142821550369
E6: T:0.002792547456920147 V:0.07408114522695541
E7: T:0.002763927448540926 V:0.1292382776737213
E8: T:0.0026502690743654966 V:0.08329486101865768
E9: T:0.002620371524244547 V:0.14084751904010773
E10: T:0.002998437499627471 V:0.09838385134935379
E11: T:0.002663199556991458 V:0.09047915041446686
E12: T:0.002473359229043126 V:0.11330965906381607
E13: T:0.0027205029036849737 V:0.0868353322148323
E14: T:0.008183823898434639 V:0.06361180543899536
E15: T:0.013182425871491432 V:0.11323857307434082
E16: T:0.02089608833193779 V:0.09679411351680756
E17: T:0.031205181032419205 V:0.12491659075021744
E18: T:0.03132953867316246 V:0.12822584807872772
E19: T:0.03141225129365921 V:0.11366430670022964
E20: T:0.031230337917804718 V:0.12719519436359406
E21: T:0.031202079728245735 V:0.11637362837791443
E22: T:0.03121689148247242 V:0.10413697361946106
E23: T:0.0314393974840641 V:0.11607764661312103
E24: T:0.031123049557209015 V:0.1208559051156044
E25: T:0.031137173995375633 V:0.12380215525627136
E26: T:0.03105855919420719 V:0.12496350705623627
E27: T:0.031296443194150925 V:0.11858789622783661
E28: T:0.03136315196752548 V:0.12136555463075638
E29: T:0.031145015731453896 V:0.11872468888759613
E30: T:0.030905088409781456 V:0.1187550276517868
E31: T:0.031167782843112946 V:0.12171679735183716
E32: T:0.03140544891357422 V:0.12082701921463013
E33: T:0.03112669289112091 V:0.1198686733841896
E34: T:0.03109549917280674 V:0.11640751361846924
E35: T:0.03129144012928009 V:0.12381527572870255
E36: T:0.03110628016293049 V:0.13100171089172363
E37: T:0.03158203512430191 V:0.11916027963161469
E38: T:0.031020570546388626 V:0.11913580447435379
