Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E1: T:0.01878901943564415 V:0.05873670428991318
E2: T:0.005076583009213209 V:0.18895158171653748
E3: T:0.004172350279986858 V:0.13005807995796204
E4: T:0.0027827441226691008 V:0.10118100792169571
E5: T:0.002152337459847331 V:0.0753917247056961
E6: T:0.002380975754931569 V:0.08163097500801086
E7: T:0.002096355427056551 V:0.08241989463567734
E8: T:0.002215807558968663 V:0.06150747463107109
E9: T:0.001881952746771276 V:0.08474630862474442
E10: T:0.0015984599012881517 V:0.06270904839038849
E11: T:0.0014218903379514813 V:0.06152668967843056
E12: T:0.0012849419144913554 V:0.07721258699893951
E13: T:0.0014867419376969337 V:0.09722164273262024
E14: T:0.0012451175134629011 V:0.09071627259254456
E15: T:0.0012504562037065625 V:0.0960254892706871
E16: T:0.0011702529154717922 V:0.10681375861167908
E17: T:0.0011471299221739173 V:0.11261197924613953
E18: T:0.00121703848708421 V:0.10461138188838959
E19: T:0.0011076495284214616 V:0.11360526829957962
E20: T:0.0012295349733904004 V:0.09442541003227234
E21: T:0.0010681942803785205 V:0.06691164523363113
E22: T:0.0010746474144980311 V:0.09057524800300598
E23: T:0.0009296367643401027 V:0.08841482549905777
E24: T:0.0009229567949660122 V:0.1291387379169464
E25: T:0.0009159478358924389 V:0.14979954063892365
E26: T:0.0009987381054088473 V:0.11830038577318192
E27: T:0.0008822028758004308 V:0.1573173552751541
E28: T:0.0007719044806435704 V:0.132144033908844
E29: T:0.0009809635812416673 V:0.1310630440711975
E30: T:0.0011235036654397845 V:0.12936773896217346
E31: T:0.0008091411436907947 V:0.12174811214208603
E32: T:0.0007396832806989551 V:0.1161576583981514
E33: T:0.0008024837006814778 V:0.09857352077960968
E34: T:0.0008376032346859574 V:0.06528876721858978
E35: T:0.0008848519646562636 V:0.15711836516857147
E36: T:0.000730683677829802 V:0.11183975636959076
E37: T:0.000736622023396194 V:0.109922856092453
E38: T:0.0006905102054588497 V:0.14206112921237946
E39: T:0.0006364022265188396 V:0.13592636585235596
E40: T:0.0006502072792500257 V:0.1485355794429779
E41: T:0.0006941320607438684 V:0.09750215709209442
E42: T:0.0006796313100494444 V:0.1119777113199234
E43: T:0.0006283583352342248 V:0.09761448949575424
E44: T:0.0006315951468423009 V:0.1169980838894844
E45: T:0.0006528021767735481 V:0.09404374659061432
E46: T:0.0005614450783468783 V:0.09682052582502365
E47: T:0.0005602157325483859 V:0.13899818062782288
E48: T:0.0005176265840418637 V:0.08153033256530762
E49: T:0.0006877438281662762 V:0.13512173295021057
E50: T:0.0005609969375655055 V:0.11913485825061798
E51: T:0.0005481148837134242 V:0.128732830286026
E52: T:0.0005951941129751503 V:0.17444373667240143
E53: T:0.0005184864858165383 V:0.11647889018058777
E54: T:0.0005137362168170512 V:0.13727229833602905
E55: T:0.0004711427609436214 V:0.13492076098918915
E56: T:0.0005732876597903669 V:0.10819260776042938
E57: T:0.00044426548993214965 V:0.08321209996938705
E58: T:0.00047801033360883594 V:0.09803429991006851
E59: T:0.0004175499780103564 V:0.11474927514791489
E60: T:0.00046521727927029133 V:0.136275514960289
E61: T:0.0005880651879124343 V:0.08145380020141602
E62: T:0.0007642496493645012 V:0.14415691792964935
E63: T:0.00047380305477418005 V:0.09261316806077957
E64: T:0.00043100572656840086 V:0.12193318456411362
E65: T:0.0005028632003813982 V:0.1271105855703354
E66: T:0.00047749601071700454 V:0.09791197627782822
E67: T:0.0004235595988575369 V:0.12011681497097015
E68: T:0.00046478709555231035 V:0.1371806263923645
E69: T:0.000418733834521845 V:0.10573545098304749
E70: T:0.00042268773540854454 V:0.10741325467824936
E71: T:0.0004442090285010636 V:0.09946336597204208
E72: T:0.000498622190207243 V:0.10167394578456879
E73: T:0.00040057566366158426 V:0.11436678469181061
E74: T:0.0004372094990685582 V:0.08973471820354462
E75: T:0.0004464327066671103 V:0.11310730874538422
E76: T:0.00041053048335015774 V:0.06588464975357056
E77: T:0.00036098973941989243 V:0.12215737253427505
E78: T:0.0003927232464775443 V:0.12766055762767792
E79: T:0.00035790636320598423 V:0.11422832310199738
E80: T:0.00032544744317419827 V:0.09817619621753693
E81: T:0.0003693601756822318 V:0.12089233100414276
E82: T:0.00033394095953553915 V:0.10858449339866638
E83: T:0.00035954517079517245 V:0.09539732336997986
E84: T:0.00035755749559029937 V:0.1135847344994545
E85: T:0.00036980476579628885 V:0.10798574239015579
E86: T:0.0004623312852345407 V:0.12566441297531128
E87: T:0.00035847353865392506 V:0.09170771390199661
E88: T:0.0003313167253509164 V:0.09288794547319412
E89: T:0.00033743996755219996 V:0.10278412699699402
E90: T:0.0003193690499756485 V:0.11801682412624359
E91: T:0.0003253040777053684 V:0.0647154226899147
E92: T:0.00037201595841906965 V:0.11796139180660248
E93: T:0.0003424825263209641 V:0.09230013191699982
E94: T:0.00037220228114165366 V:0.10674896091222763
E95: T:0.0003731372707989067 V:0.08802059292793274
E96: T:0.0003877838607877493 V:0.12244604527950287
E97: T:0.000336199882440269 V:0.09565375000238419
E98: T:0.00029961991822347045 V:0.11978063732385635
E99: T:0.0003204501699656248 V:0.0663701593875885
E100: T:0.00031939041218720376 V:0.13673417270183563
E101: T:0.0003318517410662025 V:0.0916581004858017
E102: T:0.00031817733542993665 V:0.14103563129901886
E103: T:0.0002791860024444759 V:0.11164859682321548
E104: T:0.00028867373475804925 V:0.1436438262462616
E105: T:0.0002664010098669678 V:0.07818493247032166
E106: T:0.0002868073352146894 V:0.1346723884344101
E107: T:0.00029736291617155075 V:0.138351172208786
E108: T:0.00031618232605978847 V:0.1747172623872757
E109: T:0.00038123378180898726 V:0.06936971098184586
E110: T:0.00026886785053648055 V:0.06557756662368774
E111: T:0.0002685678191483021 V:0.07795214653015137
E112: T:0.0003315588692203164 V:0.12322135269641876
E113: T:0.00028822198510169983 V:0.08270662277936935
E114: T:0.00027041893918067217 V:0.08046922832727432
E115: T:0.00025378676946274936 V:0.09844303876161575
E116: T:0.00028436575667001307 V:0.15592829883098602
E117: T:0.00029308750526979566 V:0.1425372213125229
E118: T:0.0003058294823858887 V:0.09618701040744781
E119: T:0.0002786422264762223 V:0.09098305553197861
E120: T:0.0002608394424896687 V:0.13169674575328827
E121: T:0.000286371010588482 V:0.09119739383459091
E122: T:0.000276759616099298 V:0.10121358931064606
E123: T:0.000264706410234794 V:0.1018691211938858
E124: T:0.0002670414687599987 V:0.06442015618085861
E125: T:0.00026021365192718804 V:0.09456922858953476
E126: T:0.00022999459179118276 V:0.1237621009349823
E127: T:0.0002604228211566806 V:0.07435993105173111
E128: T:0.00023757513554301113 V:0.09189639240503311
E129: T:0.00033134137629531324 V:0.07619553059339523
E130: T:0.0002732413122430444 V:0.07401898503303528
E131: T:0.00026098094531334937 V:0.0960349589586258
E132: T:0.00025077437749132514 V:0.06595440208911896
E133: T:0.00024188071256503463 V:0.07299131155014038
E134: T:0.000306480738800019 V:0.08281464874744415
