Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
Training Shape: (1240, 256, 5) (1240, 1)
Valid Shape: (307, 256, 5) (307, 1)
E1: T:0.012704611755907536 V:0.01801193319261074
E2: T:0.0037084268406033516 V:0.02637327089905739
E3: T:0.0021484745666384697 V:0.02788678929209709
E4: T:0.002247782191261649 V:0.02391011081635952
E5: T:0.0015788249438628554 V:0.01604100689291954
E6: T:0.0010479966877028346 V:0.01421989593654871
E7: T:0.0007803455810062587 V:0.011120163835585117
E8: T:0.0007287290645763278 V:0.01155004184693098
E9: T:0.000578212202526629 V:0.017083771526813507
E10: T:0.0009650237043388188 V:0.015751807019114494
E11: T:0.0014311583945527673 V:0.009384049102663994
E12: T:0.0007235480006784201 V:0.011933993548154831
E13: T:0.0005154928658157587 V:0.012111648917198181
E14: T:0.0006608975818380713 V:0.0081192497164011
E15: T:0.014336037449538708 V:0.08530089259147644
E16: T:0.026234475895762444 V:0.09956255555152893
E17: T:0.026225479319691658 V:0.09650036692619324
E18: T:0.02591506950557232 V:0.0891650840640068
E19: T:0.02579450234770775 V:0.10243358463048935
E20: T:0.025678567588329315 V:0.09113563597202301
E21: T:0.025736799463629723 V:0.09208973497152328
E22: T:0.025950126349925995 V:0.0975399985909462
E23: T:0.025722291320562363 V:0.09144558757543564
E24: T:0.025499513372778893 V:0.10005895793437958
E25: T:0.02549646608531475 V:0.09242677688598633
E26: T:0.026113444939255714 V:0.09049016237258911
E27: T:0.02547796256840229 V:0.09436240792274475
E28: T:0.025668442249298096 V:0.09453605115413666
E29: T:0.02545936405658722 V:0.0944284200668335
E30: T:0.02563328668475151 V:0.09398488700389862
E31: T:0.026282476261258125 V:0.09527859836816788
E32: T:0.025368154048919678 V:0.09542356431484222
E33: T:0.025407986715435982 V:0.09379596263170242
E34: T:0.02590242214500904 V:0.09497059881687164
E35: T:0.02548019215464592 V:0.09694872051477432
E36: T:0.02538016438484192 V:0.09796669334173203
E37: T:0.025460675358772278 V:0.09004222601652145
E38: T:0.0257148128002882 V:0.09563464671373367
E39: T:0.025411268696188927 V:0.09313452988862991
E40: T:0.0255446657538414 V:0.0933106392621994
E41: T:0.026037313044071198 V:0.09140791743993759
E42: T:0.025952104479074478 V:0.09281463176012039
E43: T:0.02543209120631218 V:0.09330295771360397
E44: T:0.025347204878926277 V:0.09346739202737808
E45: T:0.026423655450344086 V:0.0952439159154892
E46: T:0.025461360812187195 V:0.08926653116941452
E47: T:0.025293800979852676 V:0.09095882624387741
E48: T:0.025303935632109642 V:0.09224793314933777
E49: T:0.025377346202731133 V:0.09388185292482376
E50: T:0.025501610711216927 V:0.08928674459457397
E51: T:0.025324149057269096 V:0.088283970952034
E52: T:0.02536245621740818 V:0.09029903262853622
E53: T:0.025305291637778282 V:0.09298902004957199
E54: T:0.025336846709251404 V:0.09076133370399475
E55: T:0.025369497016072273 V:0.08913911134004593
E56: T:0.025284649804234505 V:0.08972480148077011
E57: T:0.026170426979660988 V:0.0892408937215805
E58: T:0.025191623717546463 V:0.08923293650150299
E59: T:0.025321384891867638 V:0.08879496902227402
E60: T:0.02526319958269596 V:0.08849675208330154
E61: T:0.02516537345945835 V:0.08959905058145523
E62: T:0.025284219533205032 V:0.09214047342538834
E63: T:0.025307374075055122 V:0.08771871775388718
E64: T:0.025486718863248825 V:0.0909074917435646
E65: T:0.025281310081481934 V:0.08998852223157883
E66: T:0.02529943361878395 V:0.0930873453617096
E67: T:0.025229092687368393 V:0.08954983204603195
E68: T:0.02528090588748455 V:0.09099028259515762
E69: T:0.025263773277401924 V:0.09022755175828934
E70: T:0.02518269792199135 V:0.09059333056211472
E71: T:0.025356393307447433 V:0.0923774465918541
E72: T:0.02524487115442753 V:0.09011421352624893
E73: T:0.025896338745951653 V:0.08765334635972977
E74: T:0.025405704975128174 V:0.09189107269048691
E75: T:0.025214148685336113 V:0.0922078937292099
E76: T:0.025228161364793777 V:0.09367300570011139
E77: T:0.025275979191064835 V:0.09182977676391602
E78: T:0.02560732141137123 V:0.0890631377696991
E79: T:0.02527780272066593 V:0.09015949070453644
E80: T:0.025319188833236694 V:0.08754456788301468
E81: T:0.025255952030420303 V:0.09225291758775711
E82: T:0.02526598796248436 V:0.0915573388338089
E83: T:0.02538754604756832 V:0.09005071967840195
E84: T:0.025198454037308693 V:0.08933300524950027
E85: T:0.025330979377031326 V:0.09048039466142654
E86: T:0.025282712653279305 V:0.09116806834936142
E87: T:0.025684289634227753 V:0.09186486154794693
E88: T:0.026536408811807632 V:0.09117136895656586
E89: T:0.02526993677020073 V:0.09273051470518112
E90: T:0.025167593732476234 V:0.08654248714447021
E91: T:0.025780467316508293 V:0.08806408196687698
E92: T:0.025255734100937843 V:0.09142673760652542
E93: T:0.025371871888637543 V:0.08776365220546722
E94: T:0.025233270600438118 V:0.0922541618347168
E95: T:0.025235680863261223 V:0.08530846238136292
E96: T:0.025237075984477997 V:0.09099504351615906
E97: T:0.0251595638692379 V:0.0909203439950943
E98: T:0.025212498381733894 V:0.09286125004291534
E99: T:0.02524878829717636 V:0.09032946825027466
E100: T:0.025288956239819527 V:0.09006287902593613
E101: T:0.02526073530316353 V:0.09169778227806091
E102: T:0.025384964421391487 V:0.09021175652742386
E103: T:0.02525927685201168 V:0.0924525335431099
E104: T:0.02521817944943905 V:0.0920594111084938
E105: T:0.025236796587705612 V:0.09005892276763916
E106: T:0.025173040106892586 V:0.09232290089130402
E107: T:0.02522185631096363 V:0.09023179858922958
E108: T:0.025167904794216156 V:0.09064865112304688
E109: T:0.02523060142993927 V:0.08992691338062286
E110: T:0.02521052584052086 V:0.09165622293949127
E111: T:0.025113770738244057 V:0.09659397602081299
E112: T:0.025177640840411186 V:0.0903029516339302
E113: T:0.02518942579627037 V:0.09365405887365341
E114: T:0.025234714150428772 V:0.09209904819726944
E115: T:0.025191279128193855 V:0.08971770107746124
E116: T:0.02523108385503292 V:0.09072918444871902
E117: T:0.02518315240740776 V:0.09164038300514221
E118: T:0.02519907057285309 V:0.08957597613334656
E119: T:0.025169165804982185 V:0.09051842242479324
E120: T:0.025257093831896782 V:0.09148269891738892
E121: T:0.025150436908006668 V:0.09249653667211533
E122: T:0.025144902989268303 V:0.08939782530069351
E123: T:0.02516164630651474 V:0.0896640494465828
E124: T:0.0257647056132555 V:0.09241703897714615
E125: T:0.0251826923340559 V:0.09126482903957367
