2024-04-05 00:21:07,685 INFO    StreamThr :17468 [internal.py:wandb_internal():86] W&B internal server running at pid: 17468, started at: 2024-04-05 00:21:07.685518
2024-04-05 00:21:07,686 DEBUG   HandlerThread:17468 [handler.py:handle_request():146] handle_request: status
2024-04-05 00:21:07,692 INFO    WriterThread:17468 [datastore.py:open_for_write():85] open: S:\Cryp-Tor\wandb\run-20240405_002107-qdib93hc\run-qdib93hc.wandb
2024-04-05 00:21:07,692 DEBUG   SenderThread:17468 [sender.py:send():382] send: header
2024-04-05 00:21:07,747 DEBUG   SenderThread:17468 [sender.py:send():382] send: run
2024-04-05 00:21:08,372 INFO    SenderThread:17468 [dir_watcher.py:__init__():211] watching files in: S:\Cryp-Tor\wandb\run-20240405_002107-qdib93hc\files
2024-04-05 00:21:08,385 INFO    SenderThread:17468 [sender.py:_start_run_threads():1136] run started: qdib93hc with start time 1712269267.686515
2024-04-05 00:21:08,385 DEBUG   HandlerThread:17468 [handler.py:handle_request():146] handle_request: check_version
2024-04-05 00:21:08,385 DEBUG   SenderThread:17468 [sender.py:send_request():409] send_request: check_version
2024-04-05 00:21:08,748 DEBUG   HandlerThread:17468 [handler.py:handle_request():146] handle_request: run_start
2024-04-05 00:21:08,774 DEBUG   HandlerThread:17468 [system_info.py:__init__():32] System info init
2024-04-05 00:21:08,774 DEBUG   HandlerThread:17468 [system_info.py:__init__():47] System info init done
2024-04-05 00:21:08,774 INFO    HandlerThread:17468 [system_monitor.py:start():194] Starting system monitor
2024-04-05 00:21:08,774 INFO    SystemMonitor:17468 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-05 00:21:08,774 INFO    HandlerThread:17468 [system_monitor.py:probe():214] Collecting system info
2024-04-05 00:21:08,774 INFO    SystemMonitor:17468 [interfaces.py:start():190] Started cpu monitoring
2024-04-05 00:21:08,774 INFO    SystemMonitor:17468 [interfaces.py:start():190] Started disk monitoring
2024-04-05 00:21:08,774 INFO    SystemMonitor:17468 [interfaces.py:start():190] Started gpu monitoring
2024-04-05 00:21:08,774 INFO    SystemMonitor:17468 [interfaces.py:start():190] Started memory monitoring
2024-04-05 00:21:08,787 INFO    SystemMonitor:17468 [interfaces.py:start():190] Started network monitoring
2024-04-05 00:21:08,787 DEBUG   HandlerThread:17468 [system_info.py:probe():196] Probing system
2024-04-05 00:21:08,787 DEBUG   HandlerThread:17468 [system_info.py:_probe_git():181] Probing git
2024-04-05 00:21:08,845 DEBUG   HandlerThread:17468 [system_info.py:_probe_git():189] Probing git done
2024-04-05 00:21:08,845 DEBUG   HandlerThread:17468 [system_info.py:probe():244] Probing system done
