Training Shape: (1958, 256, 5) (1958, 16)
Valid Shape: (566, 256, 5) (566, 16)
Training Shape: (1223, 256, 5) (1223, 16)
Valid Shape: (290, 256, 5) (290, 16)
Training Shape: (1225, 256, 5) (1225, 16)
Valid Shape: (292, 256, 5) (292, 16)
E1: T:0.012231975793838501 V:0.02126990631222725
E2: T:0.0023640429135411978 V:0.011634369380772114
E3: T:0.0013989325379952788 V:0.015194256789982319
E4: T:0.0012746765278279781 V:0.014810909517109394
E5: T:0.0010651401244103909 V:0.01648944430053234
E6: T:0.0009713191539049149 V:0.014140923507511616
E7: T:0.0008511599153280258 V:0.015448505990207195
E8: T:0.0010867161909118295 V:0.021251358091831207
E9: T:0.0008513080538250506 V:0.0197982769459486
E10: T:0.0007687964825890958 V:0.014180847443640232
E11: T:0.0007156201754696667 V:0.018894752487540245
E12: T:0.0006624825182370842 V:0.02098230831325054
E13: T:0.0006900809239596128 V:0.02480660192668438
E14: T:0.0072481087408959866 V:0.03380861133337021
E15: T:0.012619084678590298 V:0.10406354069709778
E16: T:0.023411761969327927 V:0.08659592270851135
E17: T:0.025133531540632248 V:0.09874986112117767
E18: T:0.024834761396050453 V:0.10654596239328384
E19: T:0.025183219462633133 V:0.0931803360581398
E20: T:0.02491826005280018 V:0.08661045879125595
E21: T:0.024706587195396423 V:0.09561313688755035
E22: T:0.02482282929122448 V:0.08032704144716263
E23: T:0.02467547543346882 V:0.08330796658992767
E24: T:0.024779384955763817 V:0.09370456635951996
E25: T:0.02466212958097458 V:0.10152361541986465
Best model on epoch 2 L: tensor(0.0116, device='cuda:0')
