Training Shape: (1958, 256, 6) (1958, 16)
Valid Shape: (566, 256, 6) (566, 16)
Training Shape: (1223, 256, 6) (1223, 16)
Valid Shape: (290, 256, 6) (290, 16)
Training Shape: (1225, 256, 6) (1225, 16)
Valid Shape: (292, 256, 6) (292, 16)
Training Shape: (1227, 256, 6) (1227, 16)
Valid Shape: (292, 256, 6) (292, 16)
E1: T:0.013826686888933182 V:0.10454076528549194
E2: T:0.014344324357807636 V:0.024584883823990822
E3: T:0.011652469635009766 V:0.033163052052259445
E4: T:0.011371126398444176 V:0.04312192648649216
E5: T:0.010599670931696892 V:0.03660295531153679
E6: T:0.010506100952625275 V:0.031843289732933044
E7: T:0.01047994289547205 V:0.031113382428884506
E8: T:0.011814362369477749 V:0.044165585190057755
E9: T:0.011722818948328495 V:0.054810233414173126
E10: T:0.012058284133672714 V:0.04180831462144852
E11: T:0.01196524128317833 V:0.028232775628566742
E12: T:0.012000828981399536 V:0.044274989515542984
E13: T:0.011821246705949306 V:0.031023437157273293
E14: T:0.011846116743981838 V:0.036727577447891235
E15: T:0.011819543316960335 V:0.030713582411408424
E16: T:0.011773582547903061 V:0.02991671673953533
E17: T:0.01188978087157011 V:0.04584435373544693
E18: T:0.012033049017190933 V:0.026918919757008553
E19: T:0.011919519864022732 V:0.024810343980789185
E20: T:0.01240417268127203 V:0.025036601349711418
E21: T:0.012521493248641491 V:0.028326360508799553
E22: T:0.011895532719790936 V:0.032946016639471054
E23: T:0.01201458740979433 V:0.0391969196498394
E24: T:0.012003165669739246 V:0.036023158580064774
E25: T:0.01187376119196415 V:0.026824265718460083
Best model on epoch 2 L: tensor(0.0246, device='cuda:0')
