Training Shape: (1958, 256, 6) (1958, 16)
Valid Shape: (566, 256, 6) (566, 16)
Training Shape: (1223, 256, 6) (1223, 16)
Valid Shape: (290, 256, 6) (290, 16)
Training Shape: (1225, 256, 6) (1225, 16)
Valid Shape: (292, 256, 6) (292, 16)
Training Shape: (1227, 256, 6) (1227, 16)
Valid Shape: (292, 256, 6) (292, 16)
E1: T:0.019354306161403656 V:0.018384084105491638
E2: T:0.010058129206299782 V:0.030513880774378777
E3: T:0.005108838900923729 V:0.028328480198979378
E4: T:0.003182247281074524 V:0.051382385194301605
E5: T:0.0027310403529554605 V:0.02619430236518383
E6: T:0.0018704654648900032 V:0.025638122111558914
E7: T:0.0017627221532166004 V:0.0338573195040226
E8: T:0.0016994219040498137 V:0.03381267935037613
E9: T:0.0013945202808827162 V:0.03879651427268982
E10: T:0.0013820158783346415 V:0.036944109946489334
E11: T:0.001442448701709509 V:0.028665345162153244
E12: T:0.0012669054558500648 V:0.04377909004688263
E13: T:0.0013019090984016657 V:0.03976086154580116
E14: T:0.001116030616685748 V:0.039104241877794266
E15: T:0.0010430325055494905 V:0.038914162665605545
E16: T:0.001395614119246602 V:0.04060382768511772
E17: T:0.0010890999110415578 V:0.027457134798169136
E18: T:0.00094519805861637 V:0.026280641555786133
E19: T:0.0009505875059403479 V:0.041586168110370636
E20: T:0.001099991612136364 V:0.03640134260058403
E21: T:0.011371837928891182 V:0.03874260559678078
E22: T:0.011475412175059319 V:0.038607340306043625
E23: T:0.011004386469721794 V:0.034986622631549835
E24: T:0.011074884794652462 V:0.04792797565460205
E25: T:0.011817521415650845 V:0.036132995039224625
Best model on epoch 1 L: tensor(0.0184, device='cuda:0')
